run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,curve_active,drift_check_active,drift_check_result,warning_active,warning_obstacle_id,driver_input_this_frame,inputs_per_second,hit_obstacle_id_this_frame,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
41.77763,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
41.83892,1,0,0,0,0,0,0,-1,1,1.0000,-1,0,0,0,0,0
41.86864,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.87986,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.88895,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.90203,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.92951,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.95388,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
41.97819,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.02622,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.05427,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.07222,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.08933,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.10497,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.12484,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.14894,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.17389,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.20012,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.22363,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.2468,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.2722,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.29798,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.32081,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.34669,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.37077,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.39624,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.4172,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.44201,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.46659,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.49035,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.51528,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.53862,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.56343,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.58655,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.61226,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.63576,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.66093,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
42.68296,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
