run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,curve_active,drift_check_active,drift_check_result,warning_active,warning_obstacle_id,driver_input_this_frame,inputs_per_second,hit_obstacle_id_this_frame,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
313.7752,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
313.8275,1,0,0,0,0,0,0,-1,1,1.0000,-1,0,0,0,0,0
313.8685,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.8792,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.8896,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.9004,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.9236,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.9474,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
313.9948,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.0178,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.0318,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.0459,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.0714,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.0972,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.1201,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.146,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.1704,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.1949,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.218,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.2441,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
314.2694,1,0,0,0,0,0,0,-1,1,2.0000,-1,0,0,0,0,0
314.2937,1,0,0,0,0,0,0,-1,0,2.0000,-1,0,0,0,0,0
314.3172,1,0,0,0,0,0,0,-1,0,2.0000,-1,0,0,0,0,0
314.3425,1,0,0,0,0,0,0,-1,0,2.0000,-1,0,0,0,0,0
314.3685,1,0,0,0,0,0,0,-1,0,2.0000,-1,0,0,0,0,0
314.3923,1,0,0,0,0,0,0,-1,0,2.0000,-1,0,0,0,0,0
