time,driverPlayerNum,driverPoints,globalSkill,globalConf,globalOverall,globalSpawn,globalPrecision,globalPunishment,globalRewardBias,driverSkill,driverConf,driverOverall,driverSpawn,driverPrecision,driverPunishment,driverRewardBias,driverCollectSuccess,driverCollectMiss,driverObstacleHit,driverMgPass,driverMgPerfect,driverMgFail
0.511,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.017,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.520,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.026,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.532,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.035,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.536,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.043,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.554,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.056,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.557,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.059,1,0,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.565,1,0,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.067,1,0,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.576,1,0,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0625,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.084,1,0,0.5000,0.0750,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0750,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.589,1,0,0.5025,0.0750,0.5001,0.6500,0.6000,0.6000,0.5000,0.5025,0.0750,0.5001,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.098,1,0,0.5122,0.0750,0.5006,0.6504,0.6005,0.6005,0.4997,0.5122,0.0750,0.5006,0.6504,0.6005,0.6005,0.4997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.606,1,0,0.5271,0.1000,0.5020,0.6514,0.6016,0.6016,0.4992,0.5271,0.1000,0.5020,0.6514,0.6016,0.6016,0.4992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.111,1,0,0.5393,0.1000,0.5036,0.6525,0.6029,0.6029,0.4986,0.5393,0.1000,0.5036,0.6525,0.6029,0.6029,0.4986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.614,1,0,0.5485,0.1000,0.5046,0.6533,0.6037,0.6037,0.4981,0.5485,0.1000,0.5046,0.6533,0.6037,0.6037,0.4981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.118,1,0,0.5522,0.1000,0.5052,0.6536,0.6041,0.6041,0.4979,0.5522,0.1000,0.5052,0.6536,0.6041,0.6041,0.4979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11.619,1,0,0.5536,0.1125,0.5060,0.6542,0.6048,0.6048,0.4976,0.5536,0.1125,0.5060,0.6542,0.6048,0.6048,0.4976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.126,1,0,0.5541,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.5541,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.634,1,0,0.5543,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.5543,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.135,1,0,0.5544,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.5544,0.1125,0.5061,0.6543,0.6049,0.6049,0.4976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13.639,1,0,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14.146,1,0,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14.647,1,0,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.5544,0.1250,0.5068,0.6548,0.6054,0.6054,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.153,1,0,0.5544,0.1375,0.5068,0.6548,0.6054,0.6054,0.4973,0.5544,0.1375,0.5068,0.6548,0.6054,0.6054,0.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.653,1,0,0.5544,0.1375,0.5075,0.6552,0.6060,0.6060,0.4970,0.5544,0.1375,0.5075,0.6552,0.6060,0.6060,0.4970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16.161,1,0,0.5582,0.1500,0.5086,0.6560,0.6069,0.6069,0.4966,0.5582,0.1500,0.5086,0.6560,0.6069,0.6069,0.4966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16.662,1,0,0.5615,0.1500,0.5092,0.6564,0.6073,0.6073,0.4963,0.5615,0.1500,0.5092,0.6564,0.6073,0.6073,0.4963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17.166,1,0,0.3528,0.1625,0.4793,0.6355,0.5835,0.5835,0.5083,0.3528,0.1625,0.4793,0.6355,0.5835,0.5835,0.5083,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
17.666,1,0,0.2550,0.1625,0.4611,0.6228,0.5689,0.5689,0.5156,0.2550,0.1625,0.4611,0.6228,0.5689,0.5689,0.5156,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
18.172,1,0,0.2194,0.1625,0.4547,0.6183,0.5638,0.5638,0.5181,0.2194,0.1625,0.4547,0.6183,0.5638,0.5638,0.5181,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
18.681,1,0,0.1779,0.1750,0.4441,0.6109,0.5553,0.5553,0.5224,0.1779,0.1750,0.4441,0.6109,0.5553,0.5553,0.5224,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
19.189,1,0,0.1614,0.1875,0.4367,0.6057,0.5494,0.5494,0.5253,0.1614,0.1875,0.4367,0.6057,0.5494,0.5494,0.5253,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
19.695,1,0,0.1555,0.1875,0.4355,0.6048,0.5484,0.5484,0.5258,0.1555,0.1875,0.4355,0.6048,0.5484,0.5484,0.5258,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
20.202,1,0,0.1533,0.1875,0.4350,0.6045,0.5480,0.5480,0.5260,0.1533,0.1875,0.4350,0.6045,0.5480,0.5480,0.5260,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
20.710,1,0,0.1525,0.2000,0.4305,0.6014,0.5444,0.5444,0.5278,0.1525,0.2000,0.4305,0.6014,0.5444,0.5444,0.5278,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
21.210,1,0,0.1522,0.2000,0.4304,0.6013,0.5444,0.5444,0.5278,0.1522,0.2000,0.4304,0.6013,0.5444,0.5444,0.5278,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
21.715,1,0,0.1988,0.2125,0.4343,0.6040,0.5475,0.5475,0.5263,0.1988,0.2125,0.4343,0.6040,0.5475,0.5475,0.5263,0.0000,0.3333,0.0000,0.0000,0.0000,0.5000
22.219,1,0,0.2604,0.2125,0.4486,0.6140,0.5588,0.5588,0.5206,0.2604,0.2125,0.4486,0.6140,0.5588,0.5588,0.5206,0.0000,0.3333,0.0000,0.0000,0.0000,0.5000
22.728,1,0,0.1957,0.2250,0.4323,0.6026,0.5459,0.5459,0.5271,0.1957,0.2250,0.4323,0.6026,0.5459,0.5459,0.5271,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
23.231,1,0,0.1683,0.2250,0.4256,0.5979,0.5405,0.5405,0.5298,0.1683,0.2250,0.4256,0.5979,0.5405,0.5405,0.5298,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
23.733,1,0,0.1583,0.2250,0.4232,0.5962,0.5385,0.5385,0.5307,0.1583,0.2250,0.4232,0.5962,0.5385,0.5385,0.5307,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000
24.241,1,0,0.1841,0.2500,0.4207,0.5945,0.5366,0.5366,0.5317,0.1841,0.2500,0.4207,0.5945,0.5366,0.5366,0.5317,0.0000,0.3333,0.0000,0.0000,0.0000,0.6667
24.752,1,0,0.2193,0.2500,0.4297,0.6008,0.5438,0.5438,0.5281,0.2193,0.2500,0.4297,0.6008,0.5438,0.5438,0.5281,0.0000,0.3333,0.0000,0.0000,0.0000,0.6667
25.253,1,0,0.1828,0.2500,0.4209,0.5946,0.5367,0.5367,0.5316,0.1828,0.2500,0.4209,0.5946,0.5367,0.5367,0.5316,0.0000,0.3333,0.0714,0.0000,0.0000,1.0000
25.759,1,100,0.1746,0.2500,0.4186,0.5930,0.5349,0.5349,0.5326,0.1746,0.2500,0.4186,0.5930,0.5349,0.5349,0.5326,0.3333,0.3333,0.1429,0.0000,0.0000,1.0000
26.264,1,100,0.1836,0.2500,0.4209,0.5946,0.5367,0.5367,0.5316,0.1836,0.2500,0.4209,0.5946,0.5367,0.5367,0.5316,0.3333,0.3333,0.1429,0.0000,0.0000,1.0000
26.766,1,100,0.1871,0.2500,0.4218,0.5952,0.5374,0.5374,0.5313,0.1871,0.2500,0.4218,0.5952,0.5374,0.5374,0.5313,0.3333,0.3333,0.1429,0.0000,0.0000,1.0000
27.267,1,100,0.2111,0.2750,0.4179,0.5925,0.5343,0.5343,0.5328,0.2111,0.2750,0.4179,0.5925,0.5343,0.5343,0.5328,0.2500,0.2500,0.1429,0.0000,0.0000,0.7500
27.770,1,100,0.2458,0.2875,0.4266,0.5986,0.5413,0.5413,0.5294,0.2458,0.2875,0.4266,0.5986,0.5413,0.5413,0.5294,0.2500,0.2500,0.1333,0.0000,0.0000,0.7500
28.279,1,100,0.2202,0.2875,0.4239,0.5967,0.5391,0.5391,0.5304,0.2202,0.2875,0.4239,0.5967,0.5391,0.5391,0.5304,0.2500,0.2500,0.1333,0.0000,0.0000,1.0000
28.785,1,200,0.2357,0.2875,0.4208,0.5946,0.5367,0.5367,0.5317,0.2357,0.2875,0.4208,0.5946,0.5367,0.5367,0.5317,0.5000,0.2500,0.1333,0.0000,0.0000,1.0000
29.287,1,200,0.2603,0.3000,0.4265,0.5986,0.5412,0.5412,0.5294,0.2603,0.3000,0.4265,0.5986,0.5412,0.5412,0.5294,0.5000,0.2500,0.1333,0.0000,0.0000,0.8000
29.788,1,200,0.3063,0.3000,0.4376,0.6063,0.5501,0.5501,0.5250,0.3063,0.3000,0.4376,0.6063,0.5501,0.5501,0.5250,0.5000,0.2500,0.1333,0.0000,0.0000,0.8000
30.294,1,200,0.3243,0.3000,0.4457,0.6120,0.5566,0.5566,0.5217,0.3243,0.3000,0.4457,0.6120,0.5566,0.5566,0.5217,0.5000,0.2500,0.1333,0.0000,0.0000,0.8000
30.800,1,200,0.3556,0.3000,0.4499,0.6149,0.5599,0.5599,0.5200,0.3556,0.3000,0.4499,0.6149,0.5599,0.5599,0.5200,0.5000,0.2500,0.1333,0.2000,0.0000,0.8000
31.304,1,200,0.3855,0.3125,0.4613,0.6229,0.5690,0.5690,0.5155,0.3855,0.3125,0.4613,0.6229,0.5690,0.5690,0.5155,0.5000,0.2500,0.1250,0.2000,0.0000,0.8000
31.814,1,200,0.3975,0.3125,0.4669,0.6268,0.5735,0.5735,0.5132,0.3975,0.3125,0.4669,0.6268,0.5735,0.5735,0.5132,0.5000,0.2500,0.1250,0.2000,0.0000,0.8000
32.317,1,200,0.4019,0.3125,0.4689,0.6283,0.5752,0.5752,0.5124,0.4019,0.3125,0.4689,0.6283,0.5752,0.5752,0.5124,0.5000,0.2500,0.1250,0.2000,0.0000,0.8000
32.823,1,200,0.4042,0.3250,0.4697,0.6288,0.5758,0.5758,0.5121,0.4042,0.3250,0.4697,0.6288,0.5758,0.5758,0.5121,0.5000,0.2500,0.1176,0.2000,0.0000,0.8000
33.323,1,200,0.4343,0.3375,0.4746,0.6322,0.5797,0.5797,0.5102,0.4343,0.3375,0.4746,0.6322,0.5797,0.5797,0.5102,0.5000,0.2500,0.1176,0.1667,0.0000,0.6667
33.828,1,200,0.4477,0.3375,0.4814,0.6370,0.5851,0.5851,0.5075,0.4477,0.3375,0.4814,0.6370,0.5851,0.5851,0.5075,0.5000,0.2500,0.1176,0.1667,0.0000,0.6667
34.330,1,200,0.4619,0.3375,0.4834,0.6384,0.5867,0.5867,0.5066,0.4619,0.3375,0.4834,0.6384,0.5867,0.5867,0.5066,0.5000,0.2500,0.1176,0.3333,0.0000,0.6667
34.839,1,200,0.4950,0.3500,0.4956,0.6470,0.5965,0.5965,0.5017,0.4950,0.3500,0.4956,0.6470,0.5965,0.5965,0.5017,0.5000,0.2500,0.1111,0.3333,0.0000,0.6667
35.349,1,200,0.5005,0.3625,0.5011,0.6508,0.6009,0.6009,0.4995,0.5005,0.3625,0.5011,0.6508,0.6009,0.6009,0.4995,0.4000,0.2000,0.1111,0.3333,0.0000,0.6667
35.859,1,200,0.5121,0.3750,0.5033,0.6523,0.6027,0.6027,0.4987,0.5121,0.3750,0.5033,0.6523,0.6027,0.6027,0.4987,0.4000,0.2000,0.1111,0.2857,0.0000,0.5714
36.363,1,200,0.5174,0.3875,0.5060,0.6542,0.6048,0.6048,0.4976,0.5174,0.3875,0.5060,0.6542,0.6048,0.6048,0.4976,0.4000,0.2000,0.1053,0.2857,0.0000,0.5714
36.873,1,200,0.5199,0.3875,0.5074,0.6552,0.6060,0.6060,0.4970,0.5199,0.3875,0.5074,0.6552,0.6060,0.6060,0.4970,0.4000,0.2000,0.1053,0.2857,0.0000,0.5714
37.374,1,200,0.5238,0.3875,0.5089,0.6563,0.6072,0.6072,0.4964,0.5238,0.3875,0.5089,0.6563,0.6072,0.6072,0.4964,0.4000,0.2000,0.1053,0.2857,0.0000,0.5714
37.875,1,200,0.4913,0.3875,0.4992,0.6495,0.5994,0.5994,0.5003,0.4913,0.3875,0.4992,0.6495,0.5994,0.5994,0.5003,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
38.384,1,200,0.4740,0.3875,0.4909,0.6436,0.5927,0.5927,0.5036,0.4740,0.3875,0.4909,0.6436,0.5927,0.5927,0.5036,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
38.885,1,200,0.4678,0.3875,0.4879,0.6415,0.5903,0.5903,0.5049,0.4678,0.3875,0.4879,0.6415,0.5903,0.5903,0.5049,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
39.393,1,200,0.4656,0.3875,0.4868,0.6407,0.5894,0.5894,0.5053,0.4656,0.3875,0.4868,0.6407,0.5894,0.5894,0.5053,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
39.902,1,200,0.4649,0.3875,0.4864,0.6405,0.5891,0.5891,0.5054,0.4649,0.3875,0.4864,0.6405,0.5891,0.5891,0.5054,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
40.407,1,200,0.4646,0.3875,0.4863,0.6404,0.5890,0.5890,0.5055,0.4646,0.3875,0.4863,0.6404,0.5890,0.5890,0.5055,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
40.913,1,200,0.4646,0.3875,0.4863,0.6404,0.5890,0.5890,0.5055,0.4646,0.3875,0.4863,0.6404,0.5890,0.5890,0.5055,0.4000,0.2000,0.1053,0.2857,0.0000,0.7143
