time,driverPlayerNum,driverPoints,globalSkill,globalConf,globalOverall,globalSpawn,globalPrecision,globalPunishment,globalRewardBias,driverSkill,driverConf,driverOverall,driverSpawn,driverPrecision,driverPunishment,driverRewardBias,driverCollectSuccess,driverCollectMiss,driverObstacleHit,driverMgPass,driverMgPerfect,driverMgFail
0.526,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.052,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.562,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.085,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.593,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.118,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.624,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
