time,driverPlayerNum,driverPoints,globalSkill,globalConf,globalOverall,globalSpawn,globalPrecision,globalPunishment,globalRewardBias,driverSkill,driverConf,driverOverall,driverSpawn,driverPrecision,driverPunishment,driverRewardBias,driverCollectSuccess,driverCollectMiss,driverObstacleHit,driverMgPass,driverMgPerfect,driverMgFail
26.830,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27.356,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27.858,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28.368,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28.874,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.395,1,0,0.5000,0.0372,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0372,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29.900,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30.409,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30.912,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6600,0.6025,0.6030,0.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31.428,1,0,0.5000,0.0607,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0607,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31.940,1,0,0.5000,0.0729,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0729,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32.442,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32.944,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33.470,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33.990,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34.509,1,0,0.5000,0.0952,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0952,0.5000,0.6699,0.6049,0.6059,0.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35.026,1,100,0.5697,0.0946,0.5056,0.6539,0.6044,0.6044,0.4978,0.5697,0.0946,0.5056,0.6739,0.6094,0.6104,0.4778,0.5191,0.0000,0.0000,0.0000,0.0000,0.0000
35.544,1,100,0.6371,0.0946,0.5128,0.6589,0.6102,0.6102,0.4949,0.6371,0.0946,0.5128,0.6790,0.6152,0.6162,0.4748,0.5191,0.0000,0.0000,0.0000,0.0000,0.0000
36.068,1,100,0.6496,0.1065,0.5161,0.6613,0.6129,0.6129,0.4936,0.6496,0.1065,0.5161,0.6813,0.6178,0.6188,0.4735,0.3388,0.0000,0.0000,0.0000,0.0000,0.0000
36.569,1,100,0.6375,0.1065,0.5146,0.6603,0.6117,0.6117,0.4941,0.6375,0.1065,0.5146,0.6803,0.6167,0.6177,0.4741,0.3388,0.0000,0.0000,0.0000,0.0000,0.0000
37.086,1,100,0.6087,0.1048,0.5114,0.6580,0.6091,0.6091,0.4954,0.6087,0.1048,0.5114,0.6780,0.6141,0.6151,0.4754,0.3388,0.0000,0.1817,0.0000,0.0000,0.0000
37.612,1,100,0.5967,0.1261,0.5122,0.6585,0.6098,0.6098,0.4951,0.5967,0.1261,0.5122,0.6786,0.6147,0.6157,0.4751,0.3388,0.0000,0.1319,0.0000,0.0000,0.0000
38.125,1,100,0.5977,0.1261,0.5122,0.6585,0.6097,0.6097,0.4951,0.5977,0.1261,0.5122,0.6786,0.6147,0.6157,0.4751,0.3388,0.0000,0.1319,0.0000,0.0000,0.0000
38.647,1,100,0.6008,0.1261,0.5126,0.6588,0.6101,0.6101,0.4950,0.6008,0.1261,0.5126,0.6789,0.6150,0.6160,0.4749,0.3388,0.0000,0.1319,0.0000,0.0000,0.0000
39.172,1,100,0.6019,0.1261,0.5128,0.6590,0.6102,0.6102,0.4949,0.6019,0.1261,0.5128,0.6790,0.6152,0.6162,0.4748,0.3388,0.0000,0.1319,0.0000,0.0000,0.0000
39.686,1,100,0.6094,0.1464,0.5156,0.6609,0.6124,0.6124,0.4938,0.6094,0.1464,0.5156,0.6810,0.6174,0.6184,0.4737,0.3388,0.0000,0.1024,0.0000,0.0000,0.0000
40.203,1,100,0.5471,0.1530,0.5140,0.6598,0.6112,0.6112,0.4944,0.5471,0.1530,0.5140,0.6799,0.6162,0.6172,0.4743,0.2498,0.5453,0.2185,0.0000,0.0000,0.0000
40.723,1,100,0.4527,0.1530,0.4962,0.6474,0.5970,0.5970,0.5015,0.4527,0.1530,0.4962,0.6672,0.6019,0.6029,0.4816,0.2498,0.5453,0.2185,0.0000,0.0000,0.0000
41.242,1,100,0.4194,0.1530,0.4889,0.6422,0.5911,0.5911,0.5044,0.4194,0.1530,0.4889,0.6620,0.5960,0.5970,0.4846,0.2498,0.5453,0.2185,0.0000,0.0000,0.0000
41.765,1,100,0.4004,0.1693,0.4850,0.6395,0.5880,0.5880,0.5060,0.4004,0.1693,0.4850,0.6592,0.5929,0.5939,0.4863,0.2498,0.5453,0.2769,0.0000,0.0000,0.0000
42.282,1,100,0.3846,0.1693,0.4811,0.6368,0.5849,0.5849,0.5076,0.3846,0.1693,0.4811,0.6565,0.5898,0.5907,0.4878,0.2498,0.5453,0.2769,0.0000,0.0000,0.0000
42.799,1,100,0.3790,0.1693,0.4797,0.6358,0.5838,0.5838,0.5081,0.3790,0.1693,0.4797,0.6555,0.5887,0.5896,0.4884,0.2498,0.5453,0.2769,0.0000,0.0000,0.0000
43.300,1,100,0.3770,0.1693,0.4793,0.6355,0.5834,0.5834,0.5083,0.3770,0.1693,0.4793,0.6552,0.5883,0.5893,0.4886,0.2498,0.5453,0.2769,0.0000,0.0000,0.0000
43.808,1,100,0.3634,0.1850,0.4749,0.6324,0.5799,0.5799,0.5100,0.3634,0.1850,0.4749,0.6521,0.5848,0.5858,0.4904,0.2498,0.5453,0.3131,0.0000,0.0000,0.0000
44.308,1,100,0.3439,0.1950,0.4706,0.6295,0.5765,0.5765,0.5117,0.3439,0.1950,0.4706,0.6491,0.5814,0.5823,0.4921,0.1947,0.6512,0.3131,0.0000,0.0000,0.0000
44.816,1,100,0.3283,0.1950,0.4668,0.6268,0.5734,0.5734,0.5133,0.3283,0.1950,0.4668,0.6463,0.5783,0.5793,0.4937,0.1947,0.6512,0.3131,0.0000,0.0000,0.0000
45.331,1,100,0.3257,0.1950,0.4660,0.6262,0.5728,0.5728,0.5136,0.3257,0.1950,0.4660,0.6458,0.5777,0.5786,0.4940,0.1947,0.6512,0.3131,0.0000,0.0000,0.0000
45.845,1,100,0.3244,0.2090,0.4638,0.6246,0.5710,0.5710,0.5145,0.3244,0.2090,0.4638,0.6442,0.5759,0.5768,0.4950,0.1947,0.6512,0.3453,0.0000,0.0000,0.0000
46.364,1,100,0.3169,0.2090,0.4619,0.6233,0.5695,0.5695,0.5152,0.3169,0.2090,0.4619,0.6526,0.5768,0.5782,0.4860,0.1947,0.6512,0.3453,0.0000,0.0000,0.0000
46.864,1,100,0.3143,0.2090,0.4612,0.6229,0.5690,0.5690,0.5155,0.3143,0.2090,0.4612,0.6521,0.5762,0.5777,0.4863,0.1947,0.6512,0.3453,0.0000,0.0000,0.0000
47.381,1,100,0.3153,0.2262,0.4610,0.6227,0.5688,0.5688,0.5156,0.3153,0.2262,0.4610,0.6520,0.5760,0.5775,0.4863,0.1947,0.6512,0.2954,0.0000,0.0000,0.0000
47.894,1,100,0.3227,0.2357,0.4584,0.6209,0.5667,0.5667,0.5166,0.3227,0.2357,0.4584,0.6501,0.5740,0.5754,0.4874,0.1580,0.7217,0.2954,0.0000,0.0000,0.0000
48.418,1,100,0.3122,0.2357,0.4558,0.6190,0.5646,0.5646,0.5177,0.3122,0.2357,0.4558,0.6482,0.5718,0.5733,0.4885,0.1580,0.7217,0.2954,0.0000,0.0000,0.0000
48.933,1,100,0.3086,0.2357,0.4552,0.6186,0.5641,0.5641,0.5179,0.3086,0.2357,0.4552,0.6478,0.5714,0.5728,0.4888,0.1580,0.7217,0.2954,0.0000,0.0000,0.0000
