time,driverPlayerNum,driverPoints,globalSkill,globalConf,globalOverall,globalSpawn,globalPrecision,globalPunishment,globalRewardBias,driverSkill,driverConf,driverOverall,driverSpawn,driverPrecision,driverPunishment,driverRewardBias,driverCollectSuccess,driverCollectMiss,driverObstacleHit,driverMgPass,driverMgPerfect,driverMgFail
0.508,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.018,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.521,1,0,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0250,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.026,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.530,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.034,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.536,1,0,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0375,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.038,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.542,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.044,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.551,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.053,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.560,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.060,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7.569,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.070,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.570,1,0,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.5000,0.0500,0.5000,0.6500,0.6000,0.6000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
