run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
1.6841,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.7054,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.7266,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.7489,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.7697,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.7941,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.8152,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.8366,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.8602,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.8829,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.9039,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.9270,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.9477,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.9695,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
1.9925,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.0146,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.0355,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.0573,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.0997,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.1106,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.1281,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.1510,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.1736,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.1967,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.2187,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.2416,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.2641,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.2872,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.3089,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.3319,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.3554,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.3780,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.4002,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.4228,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.4460,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.4685,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.4922,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.5153,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.5375,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.5598,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.5826,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
