run_time,frame,delta_time,speed,pos_x,pos_y,pos_z,steer,throttle,brake,slow_brake,input_count_frame,inputs_per_second,collision_count,last_warning_reaction,last_hazard_reaction,last_drift_reaction,last_reaction_type,last_cue_type
0.8981,1752,0.0221,2.1391,25.3478,-136.0900,739.5081,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.9208,1753,0.0226,2.2277,25.3478,-136.0900,739.5081,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.9428,1754,0.0220,2.3182,25.3478,-136.0900,739.5081,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.9647,1755,0.0219,2.4062,25.3471,-136.0900,739.6538,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
0.9873,1756,0.0226,2.4938,25.3471,-136.0900,739.6538,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.0093,1757,0.0220,2.5844,25.3471,-136.0900,739.6538,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.0322,1758,0.0229,2.6725,25.3463,-136.0900,739.8251,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.0546,1759,0.0224,2.7640,25.3463,-136.0900,739.8251,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.0771,1760,0.0224,2.8537,25.3463,-136.0900,739.8251,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.0998,1761,0.0227,2.9434,25.3453,-136.0900,740.0289,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.1218,1762,0.0220,3.0344,25.3453,-136.0900,740.0289,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.1447,1763,0.0229,3.1224,25.3453,-136.0900,740.0289,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.1669,1764,0.0222,3.2142,25.3442,-136.0900,740.2373,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.1888,1765,0.0219,3.3029,25.3442,-136.0900,740.2373,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.2120,1766,0.0231,3.3906,25.3435,-136.0900,740.3790,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.2346,1767,0.0226,3.4831,25.3435,-136.0900,740.3790,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.2564,1768,0.0218,3.5737,25.3435,-136.0900,740.3790,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.2789,1769,0.0225,3.6610,25.3422,-136.0900,740.6207,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.3012,1770,0.0223,3.7508,25.3422,-136.0900,740.6207,0.0000,1.0000,0.0000,0.0000,0,2,0,-1.0000,-1.0000,-1.0000,,
1.3236,1771,0.0224,3.8401,25.3422,-136.0900,740.6207,0.0000,1.0000,0.0000,0.0000,0,1,0,-1.0000,-1.0000,-1.0000,,
1.3458,1772,0.0222,3.9297,25.3407,-136.0900,740.8923,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.3677,1773,0.0219,4.0184,25.3407,-136.0900,740.8923,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.3907,1774,0.0230,4.1061,25.3407,-136.0900,740.8923,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.4121,1775,0.0213,4.1981,25.3392,-136.0900,741.1572,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.4355,1776,0.0234,4.2834,25.3392,-136.0900,741.1572,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.4571,1777,0.0216,4.3771,25.3392,-136.0900,741.1572,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.4795,1778,0.0224,4.4635,25.3375,-136.0900,741.4446,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.5014,1779,0.0219,4.5533,25.3375,-136.0900,741.4446,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.5241,1780,0.0227,4.6408,25.3375,-136.0900,741.4446,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.5472,1781,0.0231,4.7316,25.3357,-136.0900,741.7657,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.5694,1782,0.0222,4.8238,25.3357,-136.0900,741.7657,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.5924,1783,0.0231,4.9127,25.3345,-136.0900,741.9850,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.6147,1784,0.0222,5.0050,25.3345,-136.0900,741.9851,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.6378,1785,0.0232,5.0939,25.3345,-136.0900,741.9851,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.6616,1786,0.0238,5.1865,25.3324,-136.0900,742.3257,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.6837,1787,0.0221,5.2816,25.3324,-136.0900,742.3257,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.7065,1788,0.0228,5.3700,25.3324,-136.0900,742.3257,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.7289,1789,0.0223,5.4613,25.3302,-136.0900,742.6996,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.7513,1790,0.0224,5.5506,25.3302,-136.0900,742.6997,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.7743,1791,0.0230,5.6404,25.3287,-136.0900,742.9584,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
