run_time;current_driver_player_number;driver_changed_this_frame;driver_change_count_total;curve_active;warning_active;driver_input_this_frame;inputs_per_second;player1_collision_counter;player2_collision_counter;player3_collision_counter;player4_collision_counter;collision_count_total
30.71266;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.74059;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.75767;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.78229;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.80549;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.82698;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.84892;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.87371;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.89472;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.91714;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.94048;1;0;0;False;0;0;1.0000;0;0;0;0;0
30.96424;1;0;0;False;0;0;0.0000;0;0;0;0;0
30.98646;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.00899;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.03146;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.05419;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.07685;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.09694;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.12766;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.14886;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.16925;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.19312;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.21611;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.23787;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.25926;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.2834;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.30647;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.32938;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.355;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.37934;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.40207;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.42614;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.44998;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.473;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.4957;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.51914;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.54244;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.56606;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.58848;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.61181;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.63561;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.65868;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.68195;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.70614;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.72793;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.75043;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.77291;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.79506;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.82069;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.8443;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.86866;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.89112;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.91505;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.93697;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.961;1;0;0;False;0;0;0.0000;0;0;0;0;0
31.98455;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.00528;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.03079;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.05489;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.07899;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.10675;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.12803;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.15408;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.18279;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.20576;1;0;0;False;0;0;0.0000;0;0;0;0;0
