run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,warning_obstacle_result,collision_count_total
0.0000,-1,0,0,0,0,-1.0000,0.0000,,0
0.0413,-1,0,0,0,1,-1.0000,1.0000,,0
0.0705,-1,0,0,0,0,-1.0000,1.0000,,0
0.0815,-1,0,0,0,0,-1.0000,1.0000,,0
0.1055,-1,0,0,0,0,-1.0000,1.0000,,0
0.1330,-1,0,0,0,0,-1.0000,1.0000,,0
0.1597,-1,0,0,0,0,-1.0000,1.0000,,0
0.1871,-1,0,0,0,0,-1.0000,1.0000,,0
0.2142,-1,0,0,0,0,-1.0000,1.0000,,0
0.2414,-1,0,0,0,0,-1.0000,1.0000,,0
0.2682,-1,0,0,0,0,-1.0000,1.0000,,0
0.2961,-1,0,0,0,0,-1.0000,1.0000,,0
0.3230,-1,0,0,0,0,-1.0000,1.0000,,0
0.3502,-1,0,0,0,0,-1.0000,1.0000,,0
0.3777,-1,0,0,0,0,-1.0000,1.0000,,0
0.4059,-1,0,0,0,0,-1.0000,1.0000,,0
0.4364,-1,0,0,0,0,-1.0000,1.0000,,0
0.4657,-1,0,0,0,0,-1.0000,1.0000,,0
0.5156,-1,0,0,0,0,-1.0000,1.0000,,0
0.5275,-1,0,0,0,0,-1.0000,1.0000,,0
0.5507,-1,0,0,0,0,-1.0000,1.0000,,0
0.5777,-1,0,0,0,0,-1.0000,1.0000,,0
0.6050,-1,0,0,0,0,-1.0000,1.0000,,0
0.6319,-1,0,0,0,0,-1.0000,1.0000,,0
0.6585,-1,0,0,0,0,-1.0000,1.0000,,0
0.6855,-1,0,0,0,0,-1.0000,1.0000,,0
0.7127,-1,0,0,0,0,-1.0000,1.0000,,0
0.7391,-1,0,0,0,0,-1.0000,1.0000,,0
0.7679,-1,0,0,0,0,-1.0000,1.0000,,0
0.7952,-1,0,0,0,0,-1.0000,1.0000,,0
0.8221,-1,0,0,0,0,-1.0000,1.0000,,0
0.8492,-1,0,0,0,0,-1.0000,1.0000,,0
0.8759,-1,0,0,0,0,-1.0000,1.0000,,0
