run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,curve_active,drift_check_active,drift_check_result,warning_active,warning_obstacle_id,driver_input_this_frame,inputs_per_second,hit_obstacle_id_this_frame,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
173.7856,1,0,0,0,0,0,0,-1,0,0.0000,-1,0,0,0,0,0
173.8422,1,0,0,0,0,0,0,-1,1,1.0000,-1,0,0,0,0,0
173.8795,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.8951,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.9097,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.9277,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.9687,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.9826,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
173.9971,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.0181,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.0398,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.0621,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.0835,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.1047,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.1268,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.1511,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.1725,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.1944,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.2167,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.2395,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.2608,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.2831,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.3037,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.3251,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.346,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.3674,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.389,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.4116,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.4325,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.4537,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.4757,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.4975,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.5191,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.5409,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.5621,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.5837,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.6051,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.6261,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.6471,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.6684,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.6907,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.7124,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.7342,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
174.7558,1,0,0,0,0,0,0,-1,0,1.0000,-1,0,0,0,0,0
